strategy,engine,version_slug,bump_distance,schema_recall,schema_precision,invariant_recall,invariant_precision,invariant_severity_accuracy,wall_clock_sec,energy_wh,invariant_reference_count,invariant_cell_count,invariant_intersection_count,schema_reference_count,schema_cell_count,schema_intersection_count,failure_modes
b,transformers,v4_57_6,v+1,0.8303571428571429,0.9393939393939394,0.5892857142857143,0.6470588235294118,0.7272727272727273,6501.98848987557,359.92125892985683,56,51,33,112,99,93,none
b,transformers,v5_9_0,v+major,0.8125,0.91,0.44642857142857145,0.352112676056338,0.84,6319.220651820302,349.0032956807152,56,71,25,112,100,91,none
b,vllm,v0_19_1,v+major,0.0,0.0,0.0,0.0,0.0,875.2904680110514,41.07645981615252,39,4,0,135,3,0,silent
b,vllm,v0_6_0,v-2,0.7555555555555555,0.8292682926829268,0.46153846153846156,0.28125,1.0,3968.9958567451686,208.957448531691,39,64,18,135,123,102,none
b,vllm,v0_6_6_post1,v-1,0.5777777777777777,0.7722772277227723,0.3333333333333333,0.22413793103448276,1.0,4167.49546652846,220.4920290504313,39,58,13,135,101,78,none
b,vllm,v0_7_3,active,0.9703703703703703,0.8506493506493507,0.48717948717948717,0.2878787878787879,1.0,1414.2522371578962,67.9321922084447,39,66,19,135,154,131,none
b,vllm,v0_9_2,v+1,0.8740740740740741,0.6344086021505376,0.41025641025641024,0.26666666666666666,1.0,4006.386018482968,210.95474358507985,39,60,16,135,186,118,none
b_8b,transformers,v4_57_3,active,0.8571428571428571,0.9320388349514563,0.25,0.22580645161290322,1.0,412.62808020971715,4.9266187774755,56,62,14,112,103,96,none
d-ab,tensorrt,v0_19_0,v-2,1.0,1.0,1.0,0.3235294117647059,1.0,19.659817706793547,1.0924342204557063,11,34,11,107,107,107,none
d-ab,tensorrt,v0_20_0,v-1,1.0,1.0,1.0,0.3235294117647059,1.0,63.51481131464243,3.6501402382933965,11,34,11,107,107,107,none
d-ab,tensorrt,v0_21_0,active,1.0,1.0,1.0,0.28205128205128205,1.0,207.47215112484992,10.944221897226653,11,39,11,107,107,107,none
d-ab,tensorrt,v1_0_0,v+1,1.0,1.0,1.0,0.28205128205128205,1.0,97.45083662308753,5.640858743715154,11,39,11,107,107,107,none
d-ab,tensorrt,v1_2_1,v+major,1.0,1.0,1.0,0.3142857142857143,1.0,45.0144960116595,2.562190490252507,11,35,11,107,107,107,none
d-ab,transformers,v4_55_4,v-2,1.0,1.0,0.6607142857142857,0.9024390243902439,1.0,455.9376899693161,21.23758668972439,56,41,37,112,112,112,none
d-ab,transformers,v4_56_2,v-1,1.0,1.0,0.6607142857142857,0.9024390243902439,1.0,473.73616730235517,22.253147452789424,56,41,37,112,112,112,none
d-ab,transformers,v4_57_3,active,1.0,1.0,0.6607142857142857,0.9024390243902439,1.0,20.094959991052747,0.8402531182972381,56,41,37,112,112,112,none
d-ab,transformers,v4_57_6,v+1,1.0,1.0,0.6607142857142857,0.9024390243902439,1.0,490.46234878897667,23.32442316792546,56,41,37,112,112,112,none
d-ab,transformers,v5_9_0,v+major,1.0,1.0,0.6607142857142857,0.9024390243902439,1.0,507.6705290991813,24.28985115645631,56,41,37,112,112,112,none
d-ab,vllm,v0_19_1,v+major,1.0,1.0,0.6666666666666666,1.0,1.0,101.38629171997309,5.911896468132381,39,26,26,135,135,135,none
d-ab,vllm,v0_6_0,v-2,1.0,1.0,0.6666666666666666,1.0,1.0,343.77532105892897,20.20329361210247,39,26,26,135,135,135,none
d-ab,vllm,v0_6_6_post1,v-1,1.0,1.0,0.6666666666666666,1.0,1.0,417.3138794153929,24.51987878804741,39,26,26,135,135,135,none
d-ab,vllm,v0_7_3,active,1.0,1.0,0.6666666666666666,1.0,1.0,433.60082914866507,19.382677256760637,39,26,26,135,135,135,none
d-ab,vllm,v0_9_2,v+1,1.0,1.0,0.6666666666666666,1.0,1.0,144.35919468849897,8.476616351571868,39,26,26,135,135,135,none
e6,transformers,v4_57_3,active,0.8303571428571429,0.9893617021276596,0.5714285714285714,0.5614035087719298,0.9375,1255.9935588240623,0.0,56,57,32,112,94,93,none
e6,vllm,v0_7_3,active,0.9703703703703703,0.8506493506493507,0.4358974358974359,0.3695652173913043,1.0,1048.5406735278666,0.0,39,46,17,135,154,131,none
e9,transformers,v4_57_3,active,0.8303571428571429,0.9893617021276596,0.39285714285714285,0.6875,0.9545454545454546,901.7767183817923,0.0,56,32,22,112,94,93,none
e9,vllm,v0_7_3,active,0.9703703703703703,0.8506493506493507,0.4358974358974359,0.3617021276595745,1.0,1025.506856052205,0.0,39,47,17,135,154,131,none
h6,transformers,v4_57_3,active,0.75,0.9438202247191011,0.17857142857142858,0.625,0.8,526.4163252245635,0.0,56,16,10,112,89,84,none;silent
